Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
" Ranking with ""Others""",FPA34-150,2843265,User Story,In Progress,FPA34,Very High,I568606,D032869,D032869,5/12/2016 10:45,9/28/2022 3:10,9/29/2022 9:53,,,2023.Q1,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"*Problem Statement:*

Currently when Ranking values, there is no option to aggregate the remainder of the values that fall out of the top/bottom N.

I, as an end user, would like the capability to display the top or bottom rankings using the top/bottom N functionality and would like to see the remainder of the values to be aggregated and grouped as 'Other'.

??

*Use Case:*

For example: There are 20 vendors with measure value, the chart should display ten bars for the top 10 vendors and in addition to that the sum of the other 10 vendors in another 11th bar at the bottom.

??

*In Scope:*
 * Include the possibility to set the dimension(s) which is/are relevant for the TOP N evaluation.
 * +Current State:+ When there is more than one dimension in drilldown or e.g. a stacked visualization is used then the TOP N currently is applied to the combination of these dimensions. So when the aggregated total of dimension A would be within TOP N but it is split into many small dimension B values it does not show up in TOP N when there are other dimension A values split up in less dimension B values.
 * +Desired State:+ To be able to define dimension A as being the only dimension relevant for TOP N calculation so that only the aggregated total is evaluated no matter how much it is split up into dimension B values.
 * Applies to the sorting by measure values functionality, it should also be possible to define the dimension(s) relevant for the sorting.
 * For ALL dimensions (including Time and Date)
 * This should be applicable for both Stories and Analytical Applications
 * For BOTH Table and Chart widgets
 * For ALL connection types (all live and local acquired)

??

*Additional Details:*

[Epic One Pager|https://sap-my.sharepoint.com/:p:/p/sofiya_muzychko/ESfsPaJl4i1GokpxoMNWMxkBsWD81R6vsnFn7ItRKQTg6w?e=fXzJZl]

Detailed requirements attached",12,1
Add support for Bump Charts,FPA34-868,3509278,User Story,Backlog,FPA34,Medium,I568606,,,2/7/2017 18:39,9/27/2022 21:56,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"Hi,

Many times we want to see what was the trend of our top selling articles and its trend in rank of a over a period of month. This is best represented using a bump chart. Kindly provide it in future release.",1,1
Usability - add setting to hide top and bottom menu navigation bar  ,FPA34-1395,4039726,User Story,Open,FPA34,High,I568606,I818482,I818482,8/10/2017 20:57,9/27/2022 21:56,9/29/2022 9:53,,,,Digital Boardroom,,,,,,,"From https://influence.sap.com/sap/ino/#/idea/144746

Add setting to hide Digital Boardroom top menu navigation bar , because it's redundant and the navigation is now directly available via the icon >> jump to options.

Also, the ability to hide the bottom toolbar.  It is just empty if the logo and breadcrumb is turned off.",2,1
DTC - Navigational Attributes for Time,FPA34-1760,4418704,User Story,Backlog,FPA34,Medium,I568606,I328269,I328269,12/19/2017 13:16,9/27/2022 21:55,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"*Problem Statement:*

Today users are not able to aggregate dates to a higher navigational attribute level for reporting, when dates are represented flat.

I, an end user, would like to aggregate dates by navigational attributes when hierarchies for that dimension are not present so that I can perform hierarchical reporting.

??

{*}Business Value{*}:

This would allow users to use their native Date dimensions where hierarchies are not present to still obtain the appropriate hierarchical-type representation with aggregation and roll-ups.

??

*Use Case:*

Example: At the moment one is not able to aggregate dates by navigational attributes to a higher (CW, quarter, year,...) level for reporting, except when using hierarchies, however, hierarchies are not always used for the Date dimension.

When working with dates in reporting, one can additionally display certain attributes of the date dimension.

When Flat hierarchy is used in a table, a user can choose which element they want to display via the Set Visible Properties option. However, this displays both the original value and the selected one. NGN would like to only see the one selected ie Quarter- see screenshot.

??

*In Scope:*

Provide the functionality to use all these display attributes also as navigational attributes in tables, charts and filters.
 * This should be applicable for all connection types and Model Types.
 * This should be applicable for Tables, Charts and Filters.",1,1
Hyperlink - Carry page filter values when navigating to another page or external content,FPA34-1808,3944763,User Story,Backlog,FPA34,High,I568606,I070025,I070025,7/12/2017 9:49,9/27/2022 21:55,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,7/21/2017 0:00,"*Problem statement:*

Internal hyperlinks (pointing to another story) today will only capture in-context dimension to carry over to the destination, story and page filter context is not taken into account.

I, as a Story Designer, would like to specify the dimensions to be used for the filter context to be reflected with the hyperlink so that an end user has less user selections to select in the destination (page or external content).

??

*Business Value:*

This will allow for expanded capabilities when moving between pages and lessen the amount of new selections a user has to make in the destination (page or external content).

??

*Use Case:*

Allow story designers to specify the dimension for filter context to be carried over with internal hyperlink (similar to external hyperlink)to include:
 * Story filters
 * Page filters
 * Linked analysis

Allowing designers to choose a dimension (vs choosing a specific filter) will allow to capture dimension value after filtering at all levels: story, page and widget. The destination story will display filter context from original story as a transient story filter.

Destination story needs to contain a model with the same dimensions, otherwise a filter should be dismissed.

?? !image-2021-06-29-14-15-18-284.png|width=862,height=392!

!image-2021-06-29-14-15-35-349.png|width=207,height=388!

??

*In Scope:*
 * This should be applicable for all connection types and Model Types.
 * This should be applicable for measure input control as well, apart from Page Filters and Story Filters.
 * For all dimensions including Account and Date.
 * This is applicable for Table and Charts.

??

*Additional Information:*

See epic one pager in FPA34-6302",1,1
"I, as a story viewer, would like to see when the Story details were last refreshed",FPA34-2078,4652369,User Story,Open,FPA34,High,I568606,I828809,I828809,3/8/2018 23:02,9/27/2022 21:55,9/29/2022 9:53,,,,Analytics Designer,"BI (Charts, Explorer, Geo, Input controls, etc.)",Data Integration,,,,,"*Problem Statement:*

Today when opening a Story you cannot see when the data contained within has last been refreshed.

I, as a Story viewer, when opening a Story would like to see when the data contained within the Story has last been refreshed, so that I know if the data is relevant or will require communicating with an admin user to run another refresh (some users have instances where their data has failed to update due to some sort of connectivity issue.??**

??

*Business Value:*

Without an indicator, a user is?? not confident in the data being up-to-date without navigating out of a story to see when the data was last successfully refreshed. This will build trust in the data and reduce the number and type of users that need to become involved to troubleshoot perceived or real ""stale"" data.

??

*In Scope:*
 * Some form of indicator to indicate when the Story has last been refreshed
 ** This could be added to the dynamic text options/capabilities
 * This should be available for data refreshed in either a Table or Chart
 * This should be available for Stories and Analytical Applications
 * For ALL connection types (all live and local acquired)",1,1
Allow to delete data import queries,FPA34-2133,4684860,User Story,Considered,FPA34,Low,I568606,D036621,D036621,3/19/2018 10:18,9/27/2022 21:55,9/29/2022 9:53,,,,Data Integration,,,,,,,"Hi,
as a creator of a data aquisition import, I want to be able to delete old queries which are listed under 'use existing queries' in order to clean-up queries which are not used anymore. See screenshot. Customers are complaining that each and every test query is visible and spoils the list.
Thanks
   Oliver",1,1
Filters & Input Controls - All members in Version chart filter,FPA34-2165,4703028,User Story,Open,FPA34,Medium,I568606,D061599,D061599,3/23/2018 10:07,9/27/2022 21:55,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"*Problem*: version filter for charts today cannot be removed and is only single select, restricting the customers considerably. especially important for planning. Experience for charts is different compared to table, where you have more flexibility and can select all members or remove version filters.??

*Expected behaviour*:
 * Add All option to filter for charts as table has them / multiselect filter
 * Allow removing version filter if version is used in the chart as dimension. If you remove the version dimension from the chart we have to prompt for a single version to be selected, which is happening today if you have multiple version selected.

----
Original message:

I have a page with a table in which the customer can compare various versions. Whenever I create a new version it is automatically added to the table.

The scatter plot on the side uses category as a dimension and has the manual category filter. When I add a new version the dot for the version does not automatically appear. I have to manually change the filter every time because it is not possible to select ""all"" in this filter.

Please add a select all to the category filter.

Best
 Anna",4,1
Charts - Apply threshold to every level of the hierarchy,FPA34-2178,4709081,User Story,Open,FPA34,High,I568606,I050928,I050928,3/26/2018 9:43,9/27/2022 21:55,9/29/2022 9:53,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",BW Integration,S/4HANA Integration,,,,,"See description of the use case in incident 73084/2018
- The customer follows up a ratio of the success of the delivery with a threshold , this threshold should apply to every level of the hierarchy

??

[Update 2019]: Not surprised if this is a general problem across SAC regardless of Live vs Data Import. Need to be mindful to treat this as Transversal Requirement, and not consider this solely as a BW live matter.",1,1
Customize variance colours as part of a theme,FPA34-2802,5271912,User Story,In Progress,FPA34,High,I568606,I040326,I040326,9/13/2018 23:05,9/27/2022 21:54,9/29/2022 9:53,,,2023.Q1,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,9/14/2018 0:00,"*Problem Statement:*

Currently, the variance of SAC has two fixed colors: green and red and it cannot be edited on widget or on theme level. This inability to change colours disallows customers to engage in accessibility requirements nor those who have a background of either of these fixed colours from viewing variances correctly.

I, as a Story Designer, would like the capability to change the standard variance colours so that users with accessibility requirements can view them appropriately.

??

*Business Value:*

This would allow customers who currently are unable to make Stories accessible expand their footprint and overall usage and adoption of SAC.

??

*Use Case:*
 * RR Donnelley: Has created some variances on different metrics. When they create variance on (Actual- Budget), some of the variances make sense to have Green for Negative value and white for Positive values. By default variance just shows Red for negative and Green for Positive.

??
 * Currently, we have the variance color option in Styling but it doesn?€?t work as per:

!image-2020-09-07-12-10-41-424.png!

??

*In Scope:*

It needs to be possible to customize the positive and negative variance colors in the widget settings as well as in the theme settings (theme preferences and CSS) of Story 2.0.
 * For ALL dimensions (including Time and Date)
 * This should be applicable for both Stories and Analytical Applications
 * For BOTH Table and Chart widgets
 * For ALL connection types (all live and local acquired)

??

*Additional Details*

The functionality is needed as part of accessibility which was committed to S/4 for 2023. Canvas theming will be released to the OEMs as part of the accessibility workstream with the OEM availability of Story 2.0 planned for Q1 2023. This feature is necessary for Q1 QRC to make accessibility theming work as we cannot fulfill the 7:1 contrast to black and whit background with fix red and green.

The functionality is also needed to make fiori horizon work for the story canvas area.

UX Document:
[https://www.figma.com/proto/G3gNscngxef9OTxAyVbLLc/Customize-Variance-Color?page-id=2%3A95&node-id=2%3A203&viewport=531%2C452%2C0.27&scaling=scale-down]",4,1
